Unnamed: 0,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Ireland,Iceland,Israel,Italy,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),South Africa
1996M03,7.553172,,8.42161,7.395967,9.818835,10.57,,,,9.6,4.372071,,,,3.6,7.709215,,,28.0,,9.904631,,,,20.3,9.6,14.61215,9.981481,8.3,,7.830376,3.052372,,,11.9,,8.2,,3.257244,,,,11.3,7.6,2.700032,,,,,,,,,5.3,6.334288,5.37,,9.1,15.1,7.980413,9.1,8.77767,6.026903,,1.8,,12.88,14.0,10.48328,,,,2.3,11.5,5.5,,,,
1996M04,7.580952,,8.666217,7.161459,9.789276,10.52,,,,9.3,4.446773,,,,4.1,7.524967,,,28.0,,9.956554,,,,20.1,9.7,14.02801,10.04815,8.3,,7.835949,3.014208,,,11.9,,,,3.386925,,,,11.3,7.6,2.717228,,,,,,,,,5.3,6.186397,5.37,,8.7,15.0,8.186707,8.4,8.976868,6.026903,,1.8,,12.58,14.0,10.66,,,,2.4,11.7,5.6,,,,
1996M05,7.570655,,8.439314,7.030224,9.676167,10.4,,,,9.2,4.522557,,,,3.8,7.554917,,,28.0,,9.988472,,,,20.1,9.7,14.59576,10.1037,8.3,,7.812685,2.953368,,,11.8,,,,3.388882,,,,11.3,7.4,2.761596,,,,,,,,,5.1,6.162878,5.37,,8.7,14.9,8.225846,8.0,9.109747,6.026903,,1.8,,12.47,14.0,10.53751,,,,2.6,11.7,5.6,,,,
1996M06,7.493383,,8.323863,7.00295,9.560571,10.53,,,,9.8,4.605195,,,,3.8,7.672869,,,28.0,,9.983966,,,,20.2,9.7,15.30568,10.14815,8.2,,7.714927,2.944991,,,11.8,,8.0,,3.378172,,,,11.3,7.4,2.760135,,,,,,,,,5.0,6.202035,5.37,,8.7,14.4,8.2088,7.7,9.269146,6.026903,,1.8,,12.39,13.7,10.63247,,,,2.6,12.4,5.3,,,,
1996M07,7.546614,,8.480137,6.952094,9.45116,10.78,,,,9.7,4.677342,,,,3.9,7.679803,,,28.0,,9.912127,,,,20.1,10.1,15.02851,10.18148,8.1,,7.742725,2.781525,,,11.7,,,,3.32179,,,,11.3,7.3,2.763804,,,,,,,,,5.1,6.410479,5.37,,8.1,14.1,7.987442,7.4,9.27135,6.026903,,1.5,,12.44,13.4,10.72371,,,,2.7,12.3,5.5,,,,
1996M08,7.378284,,8.595306,7.000492,9.40421,10.95,,,,9.4,4.771473,,,,4.0,7.74986,,,28.0,,9.965277,,,,19.8,10.1,15.51906,10.2037,8.1,,7.574691,2.687568,,,11.7,,,,3.296868,,,,11.3,7.1,2.817044,,,,,,,,,5.1,6.453176,5.37,,8.1,13.9,7.914533,7.2,9.420606,6.026903,,1.5,,12.43,13.8,10.98305,,,,2.8,12.1,5.1,,,,
1996M09,7.440548,,8.59134,6.958685,9.37657,11.18,,,,9.9,4.864488,,,,3.9,7.869443,,,28.0,,9.998555,,,,19.7,10.1,15.285,10.21481,8.1,,7.616644,2.545704,,,11.5,,8.2,,3.298394,,,,11.3,6.9,2.890286,,,,,,,,,5.0,6.430064,5.37,,8.1,13.7,7.855387,7.0,9.537841,6.026903,,1.5,,12.46,13.8,11.21371,,,,2.8,11.8,5.2,,,,
1996M10,7.44689,,8.738245,7.006022,9.283734,11.75,,,,9.9,5.016009,,,,4.0,7.976274,,,28.0,,10.0142,,,,19.5,10.4,14.94126,10.18519,8.0,,7.615361,2.51273,,,11.3,,,,3.398608,,,,11.3,6.7,2.966025,,,,,,,,,4.9,6.188385,5.37,,8.3,13.6,7.81248,6.9,9.572826,6.026903,,1.5,,12.5,13.9,10.98947,,,,3.0,11.7,5.2,,,,
1996M11,7.492794,,8.454338,6.998779,9.246284,12.18,,,,9.9,5.082147,,,,4.1,8.05299,,,28.0,,10.06349,,,,19.3,10.4,15.05616,10.1963,7.8,,7.648624,2.598555,,,11.1,,,,3.312941,,,,11.3,6.5,3.069956,,,,,,,,,4.9,6.210899,5.37,,8.3,13.6,7.756179,6.5,9.677968,6.026903,,1.5,,12.53,14.0,11.64768,,,,2.9,11.9,5.4,,,,
1996M12,7.484382,,8.659537,6.847062,9.198739,12.38,,,,9.7,5.100642,,,,4.2,8.131906,,,28.0,,10.15033,,,,19.1,10.4,14.2069,10.21852,7.7,,7.62271,2.611949,,,11.0,,8.9,,3.360613,,,,11.3,6.1,3.174102,,,,,,,,,4.9,6.304545,5.37,,8.3,13.2,7.720067,6.5,9.900891,6.026903,,1.5,,12.66,14.1,12.02281,,,,2.8,11.9,5.4,,,,
1997M01,7.416442,,8.541324,7.055402,9.109,12.68,,,,9.5,5.241145,,,,4.3,8.358944,,,28.0,,10.14139,,,,18.8,9.3,13.92769,10.28148,7.5,,7.538414,2.487503,,,10.8,,,,3.303625,,,,10.5,5.8,3.096752,,,,,,,,,4.8,6.541491,6.12,,8.5,12.7,7.772242,6.5,10.00507,6.6052,,1.4,,12.9,14.2,11.50113,,,,2.9,12.0,5.3,,,,
1997M02,7.380045,,8.694428,6.969773,9.169045,12.94,,,,9.5,5.285236,,,,4.1,8.345202,,,28.0,,10.21626,,,,18.7,9.3,13.78074,10.3037,7.3,,7.498066,2.35126,,,10.6,,,,3.442903,,,,10.5,5.6,3.079135,,,,,,,,,4.3,6.6638,6.12,,8.5,12.5,7.736358,6.6,10.14131,6.6052,,1.4,,12.95,14.3,12.06803,,,,2.9,11.9,5.2,,,,
1997M03,7.325039,,8.571074,7.014875,9.123447,13.72,,,,9.3,5.322135,,,,4.1,8.359491,,,28.0,,10.29494,,,,18.6,9.3,13.66006,10.31481,7.2,,7.436182,2.259414,,,10.5,,9.1,,3.269262,,,,10.5,5.5,3.008038,,,,,,,,,4.2,6.734453,6.12,,8.5,12.2,7.670302,6.7,10.28416,6.6052,,1.4,,12.97,14.3,11.8475,,,,2.9,11.8,5.2,,,,
1997M04,7.30264,,8.584838,7.067385,9.043961,14.71,,,,9.4,5.360565,,,,4.5,8.458278,,,28.0,,10.52705,,,,18.6,9.6,13.59739,10.3,7.2,,7.410558,2.242022,,,10.4,,,,3.259841,,,,10.5,5.5,3.116923,,,,,,,,,4.3,6.713123,6.12,,8.3,12.0,7.531126,6.9,10.60157,6.6052,,1.4,,13.04,14.3,11.6891,,,,2.9,11.6,5.1,,,,
1997M05,7.250245,,8.527312,7.142691,9.133663,14.78,,,,9.4,5.380797,,,,4.5,8.535123,,,28.0,,10.65251,,,,18.7,9.6,13.21747,10.3,7.2,,7.352215,2.189008,,,10.2,,,,3.368525,,,,10.5,5.7,3.096229,,,,,,,,,4.5,6.749784,6.12,,8.3,11.8,7.476314,6.9,10.83463,6.6052,,1.4,,12.85,14.4,11.47707,,,,2.7,11.2,4.9,,,,
1997M06,7.288994,,8.417345,7.116871,9.243078,14.71,,,,9.1,5.387123,,,,4.8,8.597385,,,28.0,,10.77068,,,,18.8,9.6,13.45733,10.3,7.3,,7.396794,2.128834,,,10.0,,9.3,,3.345495,,,,10.5,5.8,3.099548,,,,,,,,,4.4,6.816446,6.12,,8.3,11.7,7.464164,7.4,10.97005,6.6052,,1.4,,12.48,14.5,11.26019,,,,2.7,11.8,5.0,,,,
1997M07,7.238024,,8.53345,7.183099,9.229007,14.69,,,,8.9,5.331335,,,,4.9,8.662479,,,28.0,,10.87463,,,,18.6,9.9,12.65063,10.32963,7.1,,7.341235,2.158688,,,9.8,,,,3.412398,,,,10.5,5.8,3.059005,,,,,,,,,4.3,6.89966,6.12,,9.4,11.4,7.554485,7.6,11.17541,6.6052,,1.4,,12.67,14.6,10.96382,,,,2.7,11.8,4.9,,,,
