Unnamed: 0,Argentina,Australia,Belgium,Brazil,Canada,Chile,China,Costa Rica,Czech Republic,Germany,Denmark,Spain,Estonia,Finland,France,United Kingdom,"Hong Kong SAR, China",Hungary,Indonesia,Ireland,Israel,Italy,Jordan,Japan,"Korea, Rep.",Mexico,Malaysia,Netherlands,Norway,New Zealand,Peru,Philippines,Poland,Russian Federation,Singapore,Slovakia,Togo,Thailand,Turkey,"Taiwan, China",Uganda,United States
1997M01,,0.654735,1.124397,0.88571,0.832783,,,,,1.01842,,1.007134,,1.374624,,,1.030182,,,0.936276,0.903235,1.019405,1.076107,1.479396,1.909927,0.901916,,0.943345,0.527351,0.831365,0.58374,0.92002,,,1.309042,,,1.075834,1.113463,1.544185,,1.054309
1997M02,,0.657703,1.141419,0.898508,0.819558,,,,,1.013658,,1.030473,,1.376468,,,1.030275,,,0.948689,0.908276,1.026451,1.104458,1.465506,1.941912,0.892857,,0.963893,0.524321,0.831227,0.607153,0.928504,,,1.31844,,,1.081671,1.204803,1.572341,,1.066788
1997M03,,0.661546,1.137886,0.914639,0.802758,,,,,1.016034,,0.987425,,1.380323,,,1.034421,,,0.926548,0.915866,1.028283,1.157145,1.479684,1.971763,0.888918,,0.983761,0.51947,0.830305,0.620077,0.9314,,,1.325703,,,1.082288,1.202223,1.568509,,1.080633
1997M04,,0.669636,1.149862,0.910972,0.796516,,,,,1.019602,,1.009454,,1.383541,,,1.035849,,,0.93826,0.935591,1.009618,1.280759,1.493308,2.000449,0.868973,,0.978644,0.506331,0.828245,0.604103,0.920441,,,1.32531,,,1.095187,1.114464,1.579231,,1.093758
1997M05,,0.672727,1.123331,0.959562,0.798631,,,,,1.017223,,1.005964,,1.367177,,,1.029143,,,0.946918,0.941693,1.02142,1.126222,1.496098,1.991079,0.883333,,1.012998,0.502105,0.826005,0.62552,0.918497,,,1.315985,,,1.113039,1.227983,1.559827,,1.091647
1997M06,,0.674145,1.146139,0.938207,0.802563,,,,,1.021971,,0.978498,,1.365071,,,1.033153,,,0.945962,0.943196,1.019721,1.181529,1.494044,1.978333,0.869565,,1.010857,0.500904,0.823194,0.631544,0.917224,,,1.315889,,,1.112038,1.193114,1.557812,,1.089535
1997M07,,0.672006,1.260621,0.946649,0.798266,,,,,1.016044,,0.958083,,1.35307,,,1.030416,,,0.92488,0.93339,1.021721,1.081217,1.513986,1.977281,0.862954,,0.999054,0.508095,0.815714,0.627711,0.920666,,,1.316713,,,1.123151,1.181435,1.562079,,1.092853
1997M08,,0.671379,1.112757,0.948079,0.798631,,,,,1.010216,,0.938509,,1.36667,,,1.034579,,,0.926978,0.929939,1.017549,1.116052,1.519383,1.961468,0.867641,,1.012597,0.509248,0.814622,0.62571,0.917743,,,1.314449,,,1.122439,1.225855,1.56751,,1.093964
1997M09,,0.670412,1.204855,0.952424,0.801137,,,,,1.016047,,0.996799,,1.365912,,,1.034579,,,0.958045,0.926492,1.015723,1.17449,1.532738,1.957291,0.8662,,1.015527,0.509578,0.81604,0.654832,0.912338,,,1.305694,,,1.129214,1.141423,1.56626,,1.090784
1997M10,,0.668943,1.181468,0.92529,0.806695,,,,,1.018402,,0.969725,,1.378934,,,1.037342,,,0.917467,0.916696,1.02034,1.004609,1.523614,1.936595,0.887292,,1.003112,0.512395,0.823483,0.616959,0.887517,,,1.317081,,,1.113869,1.121711,1.566814,,1.08434
