Unnamed: 0,Advanced Economies,Armenia,Belgium,Belarus,Brazil,Canada,Switzerland,Chile,China,Cameroon,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,EMDE East Asia & Pacific,EMDE Europe & Central Asia,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,France,United Kingdom,Greece,Guatemala,High Income Countries,"Hong Kong SAR, China",Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Mauritius,Malaysia,Nigeria,Nicaragua,Netherlands,Norway,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,EMDE South Asia,Singapore,El Salvador,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Trinidad and Tobago,Turkey,"Taiwan, China",Uganda,United States,Viet Nam,World (WBG members),South Africa
2006.0,94.76175,84.11676,94.36845,72.44891,85.25325,95.31668,97.06502,,98.9555,,84.04155,81.62803,93.89796,97.04058,95.08687,93.81893,83.47741,,77.77559,69.82193,,93.82111,94.74379,92.38893,90.44223,84.83685,,93.48404,77.71553,90.18384,86.00801,,,97.6166,69.5716,92.03243,93.41064,86.43748,101.3636,,90.38887,,73.98322,,83.82353,91.86796,85.51541,,96.4672,95.06454,,,93.63286,76.84017,,95.24657,92.99346,88.96866,,93.08193,95.5291,81.36691,,82.59775,70.60962,,92.38244,,,91.80362,90.58389,93.45691,99.8884,84.30664,81.93663,97.98104,73.98322,93.32995,,,81.14328
2007.0,96.40297,85.84962,95.837,77.10697,88.29308,97.18258,97.75885,,99.81933,,88.9084,85.1321,95.25656,98.45387,96.92728,95.05514,87.31443,,82.68012,75.36743,,96.3598,96.28103,94.20589,93.44638,88.95488,,94.92465,82.82758,93.09747,90.40158,88.20506,,100.2486,72.8482,92.07573,95.11866,89.1805,101.0859,75.63255,92.67817,,78.89058,,88.08301,94.21084,88.80377,,97.10315,95.50927,,90.83858,95.03849,79.08784,,96.48763,94.49291,90.70701,,94.04152,97.69841,86.59472,,85.28735,76.36179,,94.41705,,,94.24815,94.01651,95.14735,100.6908,87.94957,87.78168,99.00656,78.89058,95.50932,,,85.03254
2008.0,98.17539,91.4975,97.66169,86.57403,92.63786,98.34969,99.02469,,100.7918,,93.89692,91.33018,97.5361,100.4835,98.2178,97.18961,93.63993,,90.37466,89.63739,,98.72624,98.07004,96.30855,96.28845,96.19769,,98.03856,91.03641,96.3146,94.90417,92.5037,,102.1605,80.81964,94.67903,97.29414,97.65543,101.1111,88.39189,95.99433,,87.92436,,95.99733,96.70003,92.99363,,99.54432,98.5971,,95.33288,97.54853,84.39734,,97.73416,96.61032,94.85522,,96.2432,99.50617,95.82734,,91.38998,86.848,,99.78021,,,97.89099,98.67298,96.738,100.7227,93.37227,93.24388,100.2744,87.92436,97.70301,,,90.73224
2009.0,99.48507,96.37148,99.74639,97.45585,97.43512,99.41273,99.71687,100.0227,99.67125,,98.2725,98.00079,99.42279,100.1441,99.63998,99.11064,98.497,,97.5057,97.27377,,99.87192,99.50709,98.35841,98.64589,98.77381,,100.41,97.58014,99.73118,98.29885,97.79568,,101.5089,94.5716,98.71031,98.93923,96.83548,100.4293,95.71676,98.83097,,97.63317,,99.76842,99.04384,97.64966,,99.93156,99.69357,,98.96618,99.09639,93.82459,,99.35575,98.99128,98.98795,,98.87226,100.1235,98.53717,,96.92005,97.31931,,99.75811,100.7168,,99.27417,100.1887,98.85886,99.62979,97.2284,97.35676,99.72647,97.63317,99.36712,,,97.49152
2010.0,100.3247,102.6622,100.9375,103.9927,102.3333,100.7211,99.89136,100.5552,100.6427,,101.0537,101.0012,99.90523,100.1106,100.2749,100.6403,101.9064,,101.9572,104.1135,,101.0503,100.6037,101.3172,101.951,101.2322,,100.3879,101.4356,100.2168,100.4411,101.7528,,99.09979,101.4378,101.5398,100.6203,101.5674,99.16667,102.7055,100.6549,,102.3202,,99.8378,100.835,101.444,,100.1419,100.659,,101.721,100.4183,105.0581,,100.5156,100.2454,100.8954,,100.5004,100.6261,103.3213,,102.4101,102.6424,,101.2741,100.316,,100.0411,100.4841,100.341,100.4411,101.4275,101.3839,100.2219,102.3202,100.3186,,,101.4169
2011.0,101.7027,109.5016,102.4198,164.6508,108.966,102.2896,99.86502,101.8129,102.7702,,103.9658,104.5572,101.3043,101.0825,101.4911,102.1434,107.5542,,109.0654,112.7395,,102.5979,101.828,105.0596,103.5362,105.9927,,105.8954,107.104,100.8151,103.5722,106.3988,,98.94547,104.2449,104.5493,102.7418,106.1589,98.22391,110.7786,103.2332,,119.9825,,102.123,103.2748,104.7015,,101.352,101.8287,,106.5578,102.3176,116.2155,,102.275,101.345,103.8946,,102.9799,102.9453,111.5228,,106.8269,110.4776,,103.4678,102.5876,,101.4174,101.3332,101.1958,100.9911,103.1609,107.1113,100.9845,119.9825,101.9822,,,104.9892
2012.0,103.2562,114.6579,104.3809,261.5324,115.0629,103.6203,98.88066,104.0678,104.2422,,107.4116,107.8379,103.0351,101.9646,102.9232,104.1266,111.5445,,116.3347,119.6841,,104.1163,103.5372,107.7601,103.2826,110.1509,,110.3502,113.6905,101.7863,107.5854,110.9486,,99.85425,110.1037,105.8654,104.9712,110.915,97.65152,117.0679,104.8536,,137.6476,,104.4253,105.6345,108.2814,,103.4043,104.3868,,109.8033,103.6981,131.6201,,104.6786,102.4718,107.6142,,105.2361,104.321,114.4964,,109.8341,116.6157,,106.1056,103.8366,,104.0126,103.0826,102.107,101.8564,105.7193,114.8307,101.6234,137.6476,104.1353,,,109.7892
2013.0,104.5914,120.7456,106.1635,297.3249,121.7428,104.5198,98.93909,105.6232,106.0034,,110.0803,110.4312,103.353,101.9626,104.1976,104.8737,116.9813,,122.4382,130.5031,,105.6471,104.5426,110.2474,101.2328,114.3192,,115.0709,120.1603,102.8443,109.9052,115.6131,,100.3944,115.0724,106.7922,106.2927,115.5262,97.5,123.9861,106.446,,146.3085,,105.7373,107.9773,111.2264,,106.564,104.8261,,112.6147,105.1037,140.5364,,107.7009,103.8986,111.3707,,106.4773,104.6384,118.8609,,112.6376,123.2021,,107.918,104.5541,,104.9028,104.8505,102.4819,102.696,108.2592,122.0229,101.9887,146.3085,105.9726,,,115.4903
2014.0,106.0998,122.7639,107.9506,339.6733,129.6452,106.1924,98.91605,109.4098,107.7015,,113.1382,114.602,103.6467,102.6733,105.4532,105.5407,120.7665,,130.7184,142.5079,,105.6083,105.7225,112.1379,99.95096,117.9321,,119.6033,127.2759,103.2865,111.5835,120.8438,,101.3803,116.6764,107.6035,107.0658,120.3383,99.29293,132.2146,108.2228,,150.8318,,106.7997,109.7266,114.7649,,107.1925,106.6945,,116.1071,107.4548,150.5902,,108.4237,106.1523,115.2641,,107.3137,104.9824,124.4844,,113.7412,132.5113,,110.0191,105.0797,,105.1835,105.3328,102.9791,103.3541,110.4004,133.2023,102.3673,150.8318,107.8272,,,121.9576
2015.0,107.5861,126.8745,109.8705,380.8785,140.7987,108.1624,98.76543,114.5241,109.3828,,117.8834,116.623,103.3728,102.8466,107.4512,106.7236,123.459,,144.4125,152.387,,106.0075,106.3812,113.1468,99.75062,121.69,,122.5288,133.4111,104.0496,112.5976,126.7528,,102.8892,117.3611,108.1456,107.8839,119.5052,100.303,141.6811,110.8471,,157.1909,,108.1324,111.8271,117.4766,,107.785,108.4644,,118.1397,111.0693,162.8804,,109.4923,109.0513,119.6742,,107.7908,105.8113,129.1367,,112.7787,154.1114,,110.5643,105.3133,,105.341,105.8098,104.1341,104.2778,112.4305,143.8882,102.7424,157.1909,109.8011,,,128.5847
2016.0,109.087,124.9292,112.1548,422.409,151.5128,110.1621,98.34321,119.1049,111.1707,,125.6371,117.5245,102.7215,103.2097,108.6763,107.2483,125.5406,,154.2336,172.7894,,106.7071,107.0319,114.4245,100.3982,125.4881,,125.277,138.1536,104.1883,113.9996,130.997,,103.6265,118.7011,108.2006,108.5491,120.2406,100.6566,163.0286,112.9226,,166.0142,,110.5419,113.1766,120.967,,109.2981,109.7055,,120.7917,114.0981,183.3915,,110.2223,112.9317,124.4642,,107.6125,106.8607,135.1918,,111.8851,165.592,,111.5617,105.2958,,105.5738,106.4702,105.3638,104.9961,114.8591,156.0602,103.3144,166.0142,112.2242,,,135.7959
